ID,Ano,País,Área do País,Continente,População,PIB (Dólares)
404,2012,Haiti,27750.0,North America,10108539.0,13708925402.94
405,2013,Haiti,27750.0,North America,10261206.0,14902488489.05
406,2014,Haiti,27750.0,North America,10412740.0,15146883647.38
407,2015,Haiti,27750.0,North America,10563757.0,14849629407.95
408,2016,Haiti,27750.0,North America,10713849.0,14069277532.5
409,2017,Haiti,27750.0,North America,10863543.0,15093357143.42
410,2018,Haiti,27750.0,North America,11012421.0,16403864521.41
411,2019,Haiti,27750.0,North America,11160438.0,15016090929.87
412,2020,Haiti,27750.0,North America,11306801.0,14508222518.16
413,2021,Haiti,27750.0,North America,11447569.0,20877414952.12
414,2022,Haiti,27750.0,North America,11584996.0,20253551885.21
415,2000,Guatemala,10890.0,North America,11589761.0,19288928615.94
416,2001,Guatemala,10890.0,North America,11871565.0,18405221418.47
417,2002,Guatemala,10890.0,North America,12147518.0,20444205991.02
418,2003,Guatemala,10890.0,North America,12415334.0,21576351798.91
419,2004,Guatemala,10890.0,North America,12682108.0,23577298589.16
420,2005,Guatemala,10890.0,North America,12948292.0,26783388709.18
421,2006,Guatemala,10890.0,North America,13213330.0,29744247479.24
422,2007,Guatemala,10890.0,North America,13477017.0,33567850095.0
423,2008,Guatemala,10890.0,North America,13739299.0,38503718526.63
424,2009,Guatemala,10890.0,North America,14000190.0,37126146369.26
425,2010,Guatemala,10890.0,North America,14259687.0,40676579264.84
426,2011,Guatemala,10890.0,North America,14521515.0,46876004265.24
427,2012,Guatemala,10890.0,North America,14781942.0,49593926849.24
428,2013,Guatemala,10890.0,North America,15043981.0,52996447955.76
429,2014,Guatemala,10890.0,North America,15306316.0,57852150564.52
430,2015,Guatemala,10890.0,North America,15567419.0,62186064718.74
431,2016,Guatemala,10890.0,North America,15827690.0,66053402744.73
432,2017,Guatemala,10890.0,North America,16087418.0,71653756504.16
433,2018,Guatemala,10890.0,North America,16346950.0,73328369925.85
434,2019,Guatemala,10890.0,North America,16604026.0,77172313916.42
435,2020,Guatemala,10890.0,North America,16858333.0,77715183063.21
436,2021,Guatemala,10890.0,North America,17109746.0,86053079767.35
437,2022,Guatemala,10890.0,North America,17357886.0,95003333381.19
438,2000,Honduras,112090.0,North America,6656725.0,7186638029.06
